Positions,sofifa_id,short_name,Pace,Shooting,Passing,Dribbling,Defending,Physic
Midfielder,246960,M. Ihattaren,73.0,68.0,75.0,81.0,40.0,64.0
Midfielder,247328,Unai Vencedor,66.0,70.0,72.0,74.0,73.0,74.0
Forward,236245,A. Elis,90.0,71.0,63.0,77.0,31.0,74.0
Midfielder,247495,Moncayola,66.0,64.0,72.0,70.0,71.0,69.0
Defender,251182,Iago,81.0,55.0,68.0,72.0,71.0,71.0
Defender,251517,J. Gvardiol,83.0,54.0,67.0,71.0,71.0,83.0
Defender,252000,D. Bradarić,79.0,55.0,68.0,75.0,70.0,68.0
Forward,252084,Marcos André,76.0,78.0,59.0,72.0,38.0,73.0
Midfielder,253157,H. Boudaoui,74.0,65.0,71.0,79.0,72.0,72.0
Midfielder,254487,Matheus Henrique,75.0,60.0,76.0,79.0,57.0,64.0
Defender,256769,A. Truffert,74.0,55.0,70.0,73.0,71.0,69.0
Midfielder,256790,J. Musiala,76.0,70.0,67.0,84.0,31.0,49.0
Defender,259694,Mingueza,78.0,35.0,66.0,60.0,75.0,75.0
Goalkeeper,262621,G. Mamardashvili,,,,,,
Midfielder,220633,D. Gray,86.0,71.0,67.0,79.0,37.0,55.0
Midfielder,242794,I. Louza,61.0,64.0,74.0,76.0,63.0,52.0
Midfielder,242619,C. Doucouré,70.0,56.0,69.0,75.0,72.0,76.0
Midfielder,242577,R. Faivre,74.0,72.0,73.0,78.0,63.0,63.0
Defender,242392,G. Magnani,75.0,35.0,47.0,52.0,76.0,74.0
Forward,236461,J. Mateta,69.0,73.0,53.0,71.0,32.0,77.0
Midfielder,236699,S. Lukić,64.0,63.0,75.0,77.0,69.0,68.0
Defender,236804,F. Medina,78.0,33.0,60.0,68.0,76.0,75.0
Midfielder,236817,H. Maïga,59.0,55.0,67.0,68.0,71.0,86.0
Forward,237034,J. Hernández,83.0,75.0,65.0,73.0,42.0,73.0
Defender,237221,J. Foyth,66.0,45.0,67.0,72.0,76.0,73.0
Midfielder,237329,J. Willock,76.0,72.0,68.0,76.0,61.0,69.0
Midfielder,237626,Y. Neyou,65.0,60.0,67.0,76.0,73.0,67.0
Midfielder,237681,T. Kubo,81.0,66.0,68.0,82.0,39.0,56.0
Midfielder,237819,N. Domínguez,75.0,66.0,70.0,75.0,71.0,77.0
Forward,237960,Mama Baldé,91.0,72.0,67.0,73.0,50.0,79.0
Defender,238305,Nacho Vidal,77.0,55.0,69.0,70.0,71.0,65.0
Defender,238370,M. Pongračić,72.0,26.0,51.0,63.0,74.0,78.0
Midfielder,238581,R. Vargas,83.0,69.0,67.0,79.0,54.0,65.0
Midfielder,239335,Óscar,63.0,74.0,74.0,77.0,49.0,55.0
Midfielder,239529,F. Onyeka,87.0,58.0,66.0,72.0,74.0,81.0
Forward,239592,J. Macías,73.0,74.0,59.0,74.0,25.0,62.0
Midfielder,239795,C. Ekuban,86.0,71.0,66.0,73.0,28.0,84.0
Midfielder,239837,A. Mac Allister,70.0,76.0,77.0,74.0,56.0,62.0
Defender,240060,M. Aarons,81.0,42.0,64.0,75.0,70.0,71.0
Defender,240289,Calero,65.0,45.0,67.0,69.0,76.0,74.0
Midfielder,240654,Carles Pérez,81.0,73.0,66.0,79.0,36.0,62.0
Midfielder,241042,O. Skipp,62.0,46.0,67.0,67.0,71.0,70.0
Forward,241686,Manu Vallejo,74.0,76.0,68.0,76.0,43.0,63.0
Defender,241827,Martín,66.0,35.0,63.0,69.0,74.0,65.0
Midfielder,220876,F. Honorat,77.0,73.0,71.0,75.0,47.0,57.0
Defender,215798,M. Cornet,86.0,75.0,70.0,74.0,67.0,77.0
Goalkeeper,220604,Jaume,,,,,,
Midfielder,193133,J. Larsen,79.0,61.0,72.0,74.0,70.0,77.0
Defender,189860,Kiko Femenía,74.0,57.0,70.0,74.0,70.0,68.0
Goalkeeper,189908,Ł. Skorupski,,,,,,
Defender,190223,Balenziaga,75.0,46.0,69.0,70.0,73.0,75.0
Defender,190324,C. Kabasele,67.0,50.0,51.0,61.0,76.0,76.0
Defender,190456,N. Clyne,69.0,60.0,71.0,75.0,74.0,63.0
Goalkeeper,190778,J. Zoet,,,,,,
Midfielder,191076,J. Guðmundsson,67.0,73.0,76.0,75.0,61.0,67.0
Midfielder,191135,L. Júnior,87.0,72.0,64.0,74.0,34.0,72.0
Forward,192086,A. Kokorin,78.0,74.0,71.0,78.0,43.0,67.0
Midfielder,192667,A. Nyom,79.0,59.0,73.0,69.0,74.0,84.0
Forward,192722,R. Hamouma,67.0,76.0,75.0,78.0,42.0,64.0
Midfielder,192955,M. Klich,66.0,72.0,74.0,73.0,61.0,75.0
Defender,194201,P. Jansson,59.0,42.0,53.0,62.0,75.0,80.0
Defender,200353,A. Soumaoro,56.0,37.0,55.0,55.0,74.0,80.0
Defender,194644,Montoya,74.0,60.0,70.0,72.0,71.0,70.0
Midfielder,195038,F. Kainz,72.0,73.0,72.0,77.0,40.0,61.0
Forward,196889,S. Verdi,80.0,73.0,75.0,80.0,44.0,50.0
Forward,197756,J. Ayew,76.0,74.0,70.0,78.0,46.0,72.0
Midfielder,197891,Juanmi,73.0,75.0,69.0,76.0,30.0,51.0
Defender,198032,D. Burn,48.0,33.0,63.0,58.0,75.0,80.0
Midfielder,198451,Dani Rodríguez,85.0,75.0,74.0,72.0,63.0,69.0
Forward,198683,M. Gabbiadini,67.0,79.0,71.0,76.0,26.0,62.0
Midfielder,198861,N. Mendy,67.0,54.0,69.0,75.0,74.0,71.0
Defender,198904,G. Hanley,52.0,32.0,45.0,51.0,76.0,74.0
Midfielder,199247,Álex Fernández,57.0,70.0,79.0,74.0,68.0,64.0
Midfielder,200054,Pedro Obiang,58.0,59.0,71.0,72.0,76.0,72.0
Midfielder,189485,Diego Farías,82.0,70.0,68.0,78.0,38.0,49.0
Defender,189456,L. Cooper,50.0,35.0,56.0,58.0,76.0,78.0
Defender,189433,B. Hübner,38.0,31.0,54.0,58.0,78.0,67.0
Goalkeeper,189324,A. McCarthy,,,,,,
Midfielder,219576,R. Battaglia,63.0,67.0,67.0,72.0,77.0,78.0
Midfielder,149185,F. Magnanelli,55.0,55.0,69.0,64.0,77.0,68.0
Midfielder,152879,M. Noble,37.0,67.0,76.0,73.0,72.0,70.0
Goalkeeper,153275,J. Leca,,,,,,
Midfielder,158144,Salva Sevilla,44.0,72.0,79.0,71.0,69.0,64.0
Defender,169595,D. Rose,72.0,58.0,71.0,75.0,74.0,68.0
Goalkeeper,169697,D. Randolph,,,,,,
Midfielder,171972,J. McArthur,53.0,66.0,72.0,74.0,75.0,73.0
Goalkeeper,172203,F. Forster,,,,,,
Midfielder,173030,Ó. Trejo,71.0,72.0,75.0,78.0,69.0,77.0
Defender,173546,J. Tomkins,33.0,32.0,56.0,49.0,77.0,68.0
Midfielder,177358,M. Schneiderlin,51.0,57.0,71.0,70.0,74.0,75.0
Midfielder,180819,A. Lallana,67.0,70.0,78.0,79.0,62.0,56.0
Defender,183129,C. Clark,51.0,51.0,53.0,55.0,77.0,73.0
Defender,183285,M. Sakho,47.0,33.0,64.0,55.0,74.0,79.0
Midfielder,183427,F. Delph,65.0,67.0,73.0,75.0,72.0,66.0
Forward,183580,N. Petersen,53.0,78.0,58.0,65.0,40.0,74.0
Forward,184111,C. Benteke,54.0,76.0,62.0,68.0,32.0,75.0
Defender,184873,I. Traoré,40.0,39.0,58.0,50.0,75.0,86.0
Forward,185422,J. King,79.0,76.0,68.0,76.0,38.0,70.0
Forward,185431,N. Kalinić,63.0,74.0,64.0,73.0,42.0,67.0
Goalkeeper,186569,S. Ulreich,,,,,,
Forward,186905,A. Barnes,57.0,75.0,68.0,72.0,47.0,79.0
Midfielder,189165,J. Shelvey,49.0,72.0,78.0,72.0,61.0,72.0
Goalkeeper,189296,E. Berisha,,,,,,
Midfielder,200318,M. Uth,73.0,77.0,72.0,76.0,40.0,68.0
Defender,179847,F. Fazio,35.0,40.0,53.0,55.0,77.0,75.0
Midfielder,200759,J. Schlupp,84.0,69.0,67.0,76.0,69.0,75.0
Goalkeeper,211348,S. Dimitrievski,,,,,,
Midfielder,211706,Pere Pons,62.0,62.0,72.0,74.0,69.0,70.0
Goalkeeper,211738,M. Flekken,,,,,,
Forward,211862,A. Hahn,72.0,75.0,67.0,70.0,55.0,83.0
Forward,211899,F. Niederlechner,72.0,76.0,63.0,73.0,35.0,79.0
Midfielder,212212,D. Kohr,77.0,62.0,62.0,70.0,75.0,80.0
Midfielder,212811,M. Lemina,71.0,68.0,73.0,76.0,72.0,75.0
Midfielder,213242,A. Tameze,68.0,61.0,67.0,76.0,73.0,74.0
Midfielder,213367,L. Abergel,72.0,49.0,68.0,73.0,71.0,75.0
Defender,213404,P. Dawidowicz,62.0,46.0,61.0,62.0,76.0,77.0
Midfielder,213629,E. Pulgar,63.0,62.0,75.0,74.0,72.0,74.0
Midfielder,213666,R. Loftus-Cheek,65.0,67.0,73.0,77.0,59.0,75.0
Forward,213814,F. Di Francesco,79.0,70.0,73.0,81.0,39.0,60.0
Defender,214639,Postigo,67.0,43.0,54.0,58.0,76.0,74.0
Forward,215061,D. Benedetto,76.0,76.0,66.0,74.0,38.0,72.0
Midfielder,215449,R. Skov,78.0,77.0,76.0,73.0,64.0,71.0
Defender,215466,N. Maksimović,58.0,28.0,47.0,55.0,77.0,77.0
Midfielder,146947,Vesga,46.0,63.0,70.0,67.0,76.0,75.0
Defender,216158,S. Widmer,78.0,61.0,69.0,73.0,71.0,78.0
Defender,216380,D. Sinkgraven,77.0,60.0,73.0,79.0,72.0,64.0
Midfielder,216447,Álvaro García,92.0,64.0,70.0,73.0,30.0,45.0
Forward,216452,Gonçalo Paciência,56.0,75.0,57.0,76.0,33.0,79.0
Forward,216816,G. Simeone,76.0,74.0,59.0,75.0,37.0,70.0
Midfielder,216820,M. Simon,92.0,70.0,66.0,79.0,34.0,65.0
Midfielder,201046,R. Saponara,68.0,67.0,76.0,79.0,41.0,58.0
Defender,219466,B. Meling,84.0,52.0,68.0,75.0,68.0,67.0
Midfielder,211382,I. Amadou,64.0,55.0,65.0,71.0,73.0,80.0
Defender,216283,Danilo,73.0,59.0,66.0,75.0,73.0,69.0
Goalkeeper,211101,Rubén Blanco,,,,,,
Midfielder,205531,V. Verre,70.0,74.0,74.0,75.0,65.0,66.0
Defender,201939,C. Piccini,75.0,42.0,64.0,71.0,74.0,76.0
Defender,201860,E. Bičakčić,60.0,37.0,49.0,48.0,76.0,78.0
Defender,210635,K. Hause,61.0,45.0,60.0,59.0,74.0,79.0
Defender,201988,F. Fernández,47.0,30.0,55.0,54.0,76.0,74.0
Forward,202848,G. Caprari,84.0,70.0,70.0,81.0,20.0,49.0
Midfielder,203570,S. Dallas,74.0,69.0,70.0,73.0,73.0,75.0
Forward,203736,S. Bahoken,77.0,74.0,57.0,73.0,24.0,73.0
Goalkeeper,203775,L. Karius,,,,,,
Defender,204451,K. Günter,65.0,31.0,56.0,62.0,76.0,72.0
Defender,204472,B. Sarr,73.0,70.0,73.0,75.0,68.0,72.0
Midfielder,205343,J. Akpa Akpro,80.0,67.0,72.0,78.0,74.0,77.0
Midfielder,205402,J. Boëtius,72.0,69.0,74.0,78.0,44.0,65.0
Midfielder,203362,M. Elyounoussi,75.0,74.0,72.0,77.0,54.0,68.0
Goalkeeper,207935,M. Dituro,,,,,,
Defender,207790,K. Ayhan,64.0,53.0,71.0,68.0,76.0,75.0
Forward,209430,R. Ripart,74.0,75.0,68.0,72.0,64.0,84.0
Forward,205850,L. Pavoletti,56.0,73.0,51.0,68.0,35.0,72.0
Midfielder,209781,P. Capelle,67.0,72.0,75.0,74.0,69.0,70.0
Defender,207993,S. Kolašinac,75.0,62.0,68.0,71.0,71.0,86.0
Midfielder,207807,R. Fraser,84.0,71.0,70.0,78.0,46.0,55.0
Defender,209289,Kévin Rodrigues,75.0,59.0,75.0,72.0,70.0,60.0
Defender,207707,Marçal,71.0,56.0,71.0,72.0,75.0,71.0
Defender,207616,A. Webster,69.0,31.0,59.0,68.0,75.0,74.0
Defender,206594,S. March,73.0,67.0,73.0,77.0,67.0,62.0
Defender,205989,C. Chambers,66.0,56.0,70.0,68.0,76.0,76.0
Defender,232223,K. Tsimikas,83.0,57.0,69.0,72.0,69.0,74.0
Midfielder,232244,S. Ascacíbar,63.0,47.0,61.0,69.0,75.0,72.0
Defender,234686,J. Lotomba,78.0,48.0,65.0,71.0,71.0,65.0
Midfielder,233061,M. Pereira Lage,78.0,73.0,72.0,73.0,43.0,65.0
Midfielder,233113,Aleñá,70.0,67.0,74.0,75.0,60.0,62.0
Midfielder,233265,R. Oudin,72.0,71.0,72.0,74.0,34.0,67.0
Goalkeeper,233934,A. Ramsdale,,,,,,
Midfielder,234569,Florentino,62.0,44.0,61.0,68.0,74.0,73.0
Defender,236636,A. Caci,72.0,52.0,67.0,68.0,72.0,72.0
Defender,235899,D. Zeefuik,83.0,40.0,61.0,69.0,71.0,80.0
Defender,235026,O. Richards,81.0,46.0,60.0,73.0,69.0,63.0
Midfielder,235042,D. Liénard,54.0,70.0,79.0,73.0,62.0,70.0
Defender,235454,M. Sarr,68.0,52.0,68.0,66.0,75.0,75.0
Midfielder,235813,R. Marin,67.0,73.0,78.0,73.0,61.0,65.0
Defender,236295,Aarón,64.0,47.0,71.0,74.0,71.0,64.0
Midfielder,236311,M. Rog,71.0,66.0,73.0,75.0,63.0,69.0
Defender,236457,D. Giannoulis,82.0,48.0,65.0,70.0,70.0,67.0
Forward,236498,S. Lammers,75.0,75.0,61.0,77.0,34.0,66.0
Forward,231745,L. Dimata,77.0,73.0,64.0,70.0,40.0,77.0
Defender,236600,J. Tanganga,77.0,34.0,62.0,69.0,74.0,78.0
Forward,231835,T. Henry,61.0,73.0,65.0,66.0,39.0,79.0
Defender,227647,M. Mittelstädt,80.0,62.0,67.0,73.0,71.0,67.0
Midfielder,231640,Ontiveros,77.0,74.0,72.0,76.0,35.0,54.0
Defender,231485,A. Tuanzebe,80.0,36.0,63.0,69.0,73.0,73.0
Midfielder,225562,Merquelanz,72.0,77.0,75.0,74.0,45.0,66.0
Midfielder,237207,S. Kalu,85.0,66.0,69.0,77.0,34.0,56.0
Defender,225706,M. Trauco,69.0,52.0,74.0,75.0,69.0,72.0
Midfielder,225844,D. Verde,84.0,73.0,67.0,79.0,36.0,47.0
Forward,225926,Pere Milla,76.0,74.0,68.0,76.0,37.0,63.0
Goalkeeper,226085,Léo Jardim,,,,,,
Defender,226536,O. Colley,68.0,31.0,48.0,54.0,72.0,83.0
Midfielder,226592,J. Jankto,75.0,71.0,70.0,74.0,67.0,63.0
Forward,226710,G. Scamacca,70.0,75.0,54.0,69.0,33.0,70.0
Forward,227232,F. Sotoca,80.0,71.0,68.0,70.0,42.0,80.0
Defender,227873,A. Touré,79.0,57.0,67.0,73.0,72.0,72.0
Defender,229359,Jorge Miramón,73.0,58.0,73.0,70.0,71.0,73.0
Midfielder,229723,M. Jensen,67.0,63.0,75.0,73.0,65.0,70.0
Defender,230021,J. Aidoo,73.0,25.0,40.0,46.0,73.0,87.0
Forward,230084,L. Nmecha,82.0,73.0,64.0,75.0,39.0,78.0
Forward,230978,T. Awoniyi,78.0,73.0,60.0,70.0,32.0,76.0
Midfielder,231236,M. Cafaro,76.0,69.0,72.0,77.0,44.0,61.0
Midfielder,231242,A. Ounas,84.0,66.0,71.0,79.0,44.0,64.0
Defender,231361,J. Gnagnon,50.0,39.0,56.0,60.0,74.0,79.0
Forward,236988,E. Nketiah,83.0,72.0,55.0,74.0,24.0,61.0
Midfielder,245275,T. Bašić,54.0,64.0,75.0,73.0,69.0,76.0
Midfielder,237560,M. Djenepo,82.0,68.0,66.0,80.0,36.0,65.0
Forward,251892,Beto,71.0,74.0,54.0,68.0,24.0,78.0
Goalkeeper,243952,A. Lunin,,,,,,
Goalkeeper,244274,A. Šemper,,,,,,
Midfielder,246672,Barrenetxea,80.0,69.0,62.0,79.0,24.0,53.0
Defender,246748,Aihen Muñoz,77.0,53.0,69.0,71.0,72.0,65.0
Defender,247131,A. Espino,78.0,60.0,63.0,69.0,70.0,75.0
Midfielder,247246,K. Thuram,73.0,61.0,69.0,74.0,72.0,76.0
Defender,247832,Thierry Correia,91.0,46.0,65.0,73.0,67.0,69.0
Midfielder,248148,Zubimendi,62.0,61.0,71.0,71.0,74.0,69.0
Midfielder,251217,Jean Lucas,70.0,67.0,74.0,75.0,68.0,73.0
Defender,252339,Tiago Djaló,83.0,42.0,60.0,64.0,74.0,77.0
Midfielder,237629,A. Maier,69.0,57.0,71.0,75.0,68.0,71.0
Midfielder,252837,Nico Melamed,83.0,68.0,69.0,79.0,40.0,57.0
Forward,253002,G. Raspadori,77.0,74.0,63.0,77.0,26.0,53.0
Midfielder,253102,A. Aouchiche,70.0,64.0,74.0,75.0,56.0,59.0
Forward,255000,T. Moffi,74.0,74.0,53.0,70.0,24.0,75.0
Defender,255106,L. Badé,60.0,29.0,54.0,62.0,75.0,77.0
Defender,255687,D. Zima,74.0,38.0,54.0,63.0,76.0,76.0
Midfielder,256632,Luis Henrique,84.0,69.0,71.0,74.0,37.0,69.0
Midfielder,256948,C. Tzolis,86.0,71.0,66.0,76.0,35.0,65.0
Defender,225410,A. Masina,62.0,42.0,66.0,68.0,72.0,73.0
Forward,243780,Kangin Lee,72.0,75.0,75.0,79.0,30.0,54.0
Defender,243237,L. Pellegrini,83.0,54.0,64.0,72.0,69.0,61.0
Midfielder,243014,B. Mbeumo,83.0,73.0,69.0,74.0,37.0,63.0
Defender,242835,L. Balerdi,71.0,36.0,57.0,64.0,75.0,75.0
Forward,237679,R. Kolo Muani,82.0,69.0,60.0,77.0,31.0,61.0
Midfielder,237995,D. Lainez,78.0,64.0,70.0,80.0,49.0,55.0
Midfielder,238068,M. Richter,76.0,70.0,65.0,77.0,27.0,61.0
Midfielder,238216,C. Gallagher,71.0,69.0,70.0,73.0,61.0,66.0
Defender,238621,Rodrigo Becão,49.0,33.0,55.0,48.0,77.0,71.0
Defender,238717,E. Pinnock,68.0,37.0,57.0,60.0,74.0,79.0
Forward,238900,E. Demirović,68.0,74.0,61.0,71.0,37.0,73.0
Forward,239015,E. Dennis,88.0,72.0,60.0,76.0,38.0,68.0
Defender,239360,P. Struijk,58.0,35.0,60.0,62.0,75.0,73.0
Defender,239368,M. Bakker,76.0,50.0,65.0,68.0,72.0,77.0
Defender,240223,M. Ristić,76.0,60.0,65.0,73.0,69.0,68.0
Defender,240359,O. Alderete,66.0,56.0,59.0,63.0,74.0,77.0
Midfielder,240938,Junior Messias,82.0,68.0,72.0,76.0,37.0,54.0
Defender,240976,M. Saracchi,82.0,63.0,70.0,75.0,69.0,69.0
Defender,241103,Z. Vanheusden,60.0,45.0,63.0,66.0,75.0,74.0
Forward,241130,I. Ganago,82.0,74.0,58.0,75.0,34.0,68.0
Forward,241496,T. Weah,87.0,71.0,67.0,76.0,45.0,61.0
Midfielder,241867,Aitor Ruibal,78.0,74.0,66.0,75.0,42.0,62.0
Defender,242418,T. Lamptey,87.0,44.0,66.0,75.0,67.0,52.0
Defender,225523,Lekue,83.0,64.0,69.0,73.0,68.0,70.0
Forward,208622,Rubén Sobrino,78.0,76.0,62.0,72.0,37.0,66.0
Goalkeeper,224987,I. Provedel,,,,,,
Defender,190854,P. Pekarík,62.0,40.0,64.0,73.0,73.0,67.0
Midfielder,191783,V. Berisha,71.0,70.0,71.0,77.0,58.0,77.0
Defender,192557,M. Plattenhardt,70.0,56.0,74.0,71.0,71.0,71.0
Forward,192991,C. Tosun,66.0,76.0,65.0,72.0,36.0,73.0
Defender,193091,B. Nuytinck,33.0,40.0,54.0,55.0,77.0,69.0
Forward,193338,M. Destro,69.0,75.0,60.0,72.0,29.0,60.0
Defender,193440,N. Viergever,64.0,54.0,65.0,67.0,74.0,75.0
Defender,193470,A. Souquet,70.0,59.0,70.0,71.0,71.0,70.0
Midfielder,193532,G. Medel,62.0,47.0,62.0,68.0,74.0,79.0
Forward,194728,I. Belfodil,65.0,74.0,68.0,74.0,36.0,74.0
Goalkeeper,194911,Adrián,,,,,,
Defender,194957,P. Jones,51.0,50.0,60.0,56.0,75.0,67.0
Midfielder,196942,Iñigo Pérez,56.0,65.0,77.0,66.0,71.0,72.0
Defender,198023,Ximo Navarro,73.0,47.0,65.0,68.0,70.0,76.0
Midfielder,198077,P. Herrmann,70.0,72.0,73.0,75.0,33.0,60.0
Forward,198331,M. Vydra,80.0,74.0,68.0,75.0,36.0,67.0
Defender,198352,S. Bell,40.0,38.0,52.0,49.0,76.0,73.0
Defender,198949,K. Malcuit,75.0,62.0,70.0,74.0,72.0,71.0
Goalkeeper,199339,M. Riemann,,,,,,
Goalkeeper,199909,P. Pervan,,,,,,
Midfielder,190982,Alberto Perea,76.0,72.0,70.0,78.0,36.0,61.0
Defender,189946,V. Manceau,45.0,47.0,70.0,73.0,75.0,72.0
Goalkeeper,201269,F. Rønnow,,,,,,
Midfielder,189725,T. Cleverley,60.0,69.0,74.0,73.0,61.0,65.0
Forward,137506,G. Pandev,54.0,78.0,72.0,79.0,37.0,49.0
Midfielder,167933,Y. Cahuzac,34.0,46.0,63.0,62.0,73.0,77.0
Forward,169792,J. Rodriguez,67.0,76.0,67.0,73.0,42.0,66.0
Goalkeeper,170084,W. Hennessey,,,,,,
Defender,178031,P. Baysse,43.0,45.0,62.0,61.0,74.0,76.0
Midfielder,178160,T. Mangani,48.0,69.0,76.0,70.0,70.0,72.0
Defender,178567,E. Pieters,63.0,39.0,68.0,69.0,74.0,78.0
Defender,182168,A. Ranocchia,36.0,32.0,57.0,58.0,78.0,66.0
Goalkeeper,183141,Oier,,,,,,
Midfielder,183520,Fran Mérida,58.0,72.0,77.0,72.0,67.0,71.0
Defender,184037,M. Kelly,50.0,44.0,59.0,61.0,76.0,68.0
Defender,186392,J. Ward,54.0,52.0,67.0,66.0,77.0,71.0
Defender,186395,M. Ritchie,65.0,73.0,75.0,76.0,65.0,69.0
Defender,186519,Juan Cala,58.0,54.0,62.0,60.0,74.0,80.0
Defender,186589,I. Radovanović,51.0,59.0,69.0,66.0,75.0,75.0
Midfielder,188388,R. Boudebouz,66.0,74.0,75.0,76.0,40.0,59.0
Forward,188770,A. Mehmedi,68.0,74.0,70.0,78.0,43.0,66.0
Midfielder,189172,Fidel,74.0,71.0,73.0,72.0,47.0,66.0
Forward,224933,K. Lasagna,87.0,70.0,60.0,75.0,29.0,63.0
Midfielder,200478,J. Hendrick,64.0,68.0,74.0,74.0,70.0,74.0
Defender,189484,D. Santon,66.0,57.0,70.0,72.0,73.0,67.0
Defender,202697,J. Stephens,53.0,42.0,61.0,67.0,76.0,73.0
Midfielder,212911,Hernâni,91.0,68.0,66.0,80.0,29.0,60.0
Defender,215322,J. Silva,72.0,60.0,67.0,72.0,71.0,76.0
Goalkeeper,215363,L. Montipò,,,,,,
Midfielder,217648,G. Haraguchi,84.0,66.0,70.0,78.0,44.0,53.0
Midfielder,218534,S. Adamyan,79.0,73.0,64.0,76.0,37.0,70.0
Defender,218540,A. Oyongo,85.0,59.0,68.0,73.0,66.0,76.0
Forward,219496,Simy,59.0,77.0,45.0,61.0,29.0,78.0
Forward,219536,I. Pussetto,78.0,73.0,63.0,77.0,25.0,60.0
Defender,219585,M. Valjent,66.0,36.0,55.0,64.0,75.0,82.0
Forward,219932,A. Sanabria,73.0,72.0,70.0,75.0,32.0,62.0
Midfielder,221743,Hélder Costa,85.0,67.0,68.0,76.0,29.0,56.0
Forward,222041,L. Boyé,73.0,72.0,61.0,77.0,47.0,79.0
Goalkeeper,222514,F. Woodman,,,,,,
Forward,223334,Joelinton,76.0,70.0,62.0,73.0,43.0,79.0
Goalkeeper,224251,R. Zentner,,,,,,
Defender,224263,J. Kenny,71.0,49.0,65.0,70.0,71.0,70.0
Defender,224494,R. Henry,91.0,40.0,60.0,73.0,67.0,70.0
Defender,224656,O. Aina,83.0,60.0,67.0,73.0,70.0,74.0
Forward,224883,S. Mounié,64.0,73.0,62.0,68.0,45.0,80.0
Defender,203581,I. Balliu,84.0,39.0,68.0,74.0,69.0,72.0
Defender,214026,J. Mojica,91.0,65.0,70.0,71.0,68.0,72.0
Goalkeeper,220901,David Raya,,,,,,
Midfielder,211999,R. Khedira,48.0,43.0,58.0,62.0,76.0,80.0
Goalkeeper,207998,D. Ward,,,,,,
Defender,204355,P. Dummett,64.0,40.0,63.0,67.0,76.0,70.0
Defender,211856,K. Akpoguma,81.0,48.0,55.0,60.0,76.0,71.0
Defender,205193,K. Rekik,67.0,39.0,58.0,62.0,73.0,76.0
Defender,205362,M. Nastasić,65.0,32.0,61.0,56.0,74.0,75.0
Forward,205495,A. Lozano,78.0,74.0,63.0,69.0,36.0,75.0
Defender,206098,Patric,70.0,53.0,67.0,70.0,75.0,69.0
Forward,207562,S. Andersson,54.0,73.0,54.0,69.0,31.0,76.0
Midfielder,207894,T. Strobl,43.0,49.0,65.0,58.0,74.0,78.0
Defender,207920,E. Durm,74.0,56.0,66.0,69.0,70.0,69.0
Defender,206198,D. Heintz,59.0,37.0,60.0,59.0,74.0,79.0
Midfielder,208535,A. Duncan,71.0,63.0,71.0,74.0,74.0,75.0
Midfielder,208620,Omar Mascarell,59.0,60.0,67.0,73.0,70.0,72.0
Midfielder,210475,M. Prietl,58.0,51.0,62.0,65.0,72.0,79.0
Defender,210964,F. Ceccherini,63.0,43.0,53.0,63.0,76.0,71.0
Defender,210972,Manquillo,70.0,44.0,63.0,72.0,72.0,66.0
Midfielder,211099,O. Nguette,85.0,67.0,67.0,76.0,40.0,63.0
Midfielder,208137,Lucas Torró,39.0,63.0,65.0,65.0,73.0,73.0
Midfielder,211381,S. Boufal,79.0,66.0,72.0,79.0,27.0,50.0
Midfielder,211408,K. Linetty,67.0,63.0,71.0,75.0,72.0,69.0
Defender,232270,T. Fosu-Mensah,77.0,60.0,64.0,65.0,72.0,76.0
Defender,234986,P. Retsos,65.0,35.0,59.0,57.0,75.0,71.0
Midfielder,235407,S. Özcan,69.0,62.0,69.0,75.0,69.0,73.0
Defender,235290,K. Bonifazi,52.0,35.0,51.0,56.0,75.0,64.0
Midfielder,235167,V. Janelt,66.0,62.0,66.0,68.0,70.0,75.0
Defender,235036,W. Faes,55.0,37.0,54.0,57.0,73.0,75.0
Defender,233084,N. Molina,78.0,64.0,67.0,72.0,68.0,66.0
Midfielder,234728,L. Bénes,63.0,70.0,78.0,75.0,44.0,60.0
Defender,233767,S. Alakouch,73.0,45.0,67.0,72.0,70.0,65.0
Midfielder,232610,T. Asano,90.0,69.0,62.0,75.0,30.0,61.0
Midfielder,235522,Aleix Febas,68.0,62.0,75.0,76.0,61.0,66.0
Midfielder,235456,J. Bellegarde,79.0,60.0,69.0,75.0,69.0,69.0
Midfielder,236556,M. Hongla,82.0,69.0,70.0,76.0,66.0,77.0
Midfielder,235526,D. Geiger,58.0,47.0,71.0,78.0,55.0,58.0
Midfielder,235781,Santi Comesaña,63.0,67.0,64.0,69.0,72.0,73.0
Forward,235888,I. Cardona,73.0,74.0,67.0,72.0,26.0,63.0
Defender,236331,E. Cabaco,54.0,41.0,48.0,54.0,74.0,76.0
Midfielder,236935,H. Wolf,77.0,69.0,67.0,77.0,36.0,65.0
Defender,236454,S. Doumbia,86.0,43.0,62.0,70.0,68.0,69.0
Goalkeeper,236515,Álvaro,,,,,,
Midfielder,236518,A. Nordin,80.0,69.0,68.0,75.0,37.0,58.0
Midfielder,236624,A. Barkok,78.0,66.0,69.0,78.0,55.0,65.0
Defender,236703,D. Raum,86.0,59.0,66.0,74.0,64.0,70.0
Midfielder,231864,M. van Bergen,93.0,65.0,64.0,75.0,27.0,51.0
Defender,232008,Toni Lato,77.0,56.0,71.0,71.0,68.0,61.0
